Continent_Name,Year,GDP,CO2 Emission,Temperature Change
North America,1972,1487168293648.3735,368.03443455200005,-0.05024000000000001
North America,1973,1666651917367.8357,405.26951402400005,0.17560000000000003
North America,1974,1835690910212.468,376.7703243570001,-0.27152
North America,1975,2010135491781.124,319.26469016299995,-0.14048
North America,1976,2237031849665.223,497.6366819109999,-0.24422296296296298
North America,1977,2448387172843.047,354.20478435400014,0.2976256084656085
North America,1978,2754169053531.2095,305.683426774,0.1405685714285714
North America,1979,3093992746752.1187,319.34404464900007,0.20510560846560846
North America,1980,3434637069204.529,325.9243264719999,0.5453418181818183
North America,1981,3878952717923.858,286.998772656,0.33927054545454555
North America,1982,3948497914340.322,302.13102905299996,0.2606305454545455
North America,1983,4242186832947.0176,202.282156778,0.4298705454545454
North America,1984,4696502822963.216,343.4967253520001,0.010719999999999997
North America,1985,5012705229111.49,383.54676656200013,0.0184
North America,1986,5206011778186.371,112.38417797300004,0.12972
North America,1987,5554094941450.74,121.17309954699999,0.5604
North America,1988,6049819749534.086,131.302339455,0.49356
North America,1989,6555824092872.012,136.83989517400002,0.10628000000000001
North America,1990,6952600286237.783,291.2750063334261,0.39912
North America,1991,7220878936786.163,290.2084608084262,0.4593290566037736
North America,1992,7620226819724.318,297.13067717042617,0.3193319137466307
North America,1993,8089529816661.762,293.45995001842624,0.3236660936408107
North America,1994,8563852328987.83,295.3872163564261,0.5809290566037736
North America,1995,8789624853928.452,297.00570144242613,0.6566490566037736
North America,1996,9301977782626.24,296.96665186542623,0.3554400000000001
North America,1997,9937064249165.654,300.0797986314262,0.6928000000000002
North America,1998,10443084307820.258,305.3283766734261,1.16572
North America,1999,11139310698845.135,304.51707045142615,0.5563199999999999
North America,2000,11951837361382.045,305.2896071924263,0.42873009625668446
North America,2001,12336198961222.748,307.98602649442614,0.6164216806722689
North America,2002,12738178935785.049,308.83856911142624,0.7523158605664487
North America,2003,13357676980118.568,309.4042763944262,0.9657016806722689
North America,2004,14317839410353.916,308.7086816494261,0.6687788235294118
North America,2005,15419880250158.924,311.4866091254262,0.92888
North America,2006,16473783764545.297,314.48651299142614,0.8744
North America,2007,17375469620896.17,316.44664524242614,0.8947199999999998
North America,2008,17813566980096.434,313.06849187342607,0.50588
North America,2009,17154576612398.92,373.51051076442604,0.7183200000000002
North America,2010,18127941110686.1,311.24809473942616,1.15252
North America,2011,19015101215921.395,312.6164728964262,0.7068000000000002
North America,2012,19751023001302.16,324.5026160914261,0.7988799999999998
North America,2013,20452764642666.805,310.20759749142627,0.8882400000000001
North America,2014,21217905823069.52,307.5764551934261,0.8340800000000002
North America,2015,21562679643413.418,306.1291085424262,1.13856
North America,2016,21967187565762.77,303.43833315842613,1.303511272727273
North America,2017,22992815192918.605,301.1826925064262,1.059391272727273
